## dpkg packages
7zip	25.01+dfsg-1~deb13u1
libnetplan1:arm64	1.1.2-7+rpt1
libnettle8t64:arm64	3.10.1-1
libnewt0.52:arm64	0.52.25-1
libnfnetlink0:arm64	1.0.2-3
libnftables1:arm64	1.1.3-1
libnftnl11:arm64	1.2.9-1
libnghttp2-14:arm64	1.64.0-1.1+deb13u1
libnghttp3-9:arm64	1.8.0-1
libngtcp2-16:arm64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1
libnl-3-200:arm64	3.7.0-2
libnl-genl-3-200:arm64	3.7.0-2
libnl-route-3-200:arm64	3.7.0-2
libnm0:arm64	1.52.1-1+rpt4
libnpth0t64:arm64	1.8-3
libnspr4:arm64	2:4.36-1
libnss-mdns:arm64	0.15.1-4+b1
libnss3:arm64	2:3.110-1+deb13u1
libntfs-3g89t64:arm64	1:2022.10.3-5+deb13u1
libnuma1:arm64	2.0.19-1
libnvme1t64	1.13-2
libogg0:arm64	1.3.5-3+b2
libopenjp2-7:arm64	2.5.3-2.1~deb13u1
libossp-uuid16:arm64	1.6.4-1
libp11-kit0:arm64	0.25.5-3
libpam-chksshpwd:arm64	2.0
libpam-modules:arm64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:arm64	257.9-1~deb13u1
libpam0g:arm64	1.7.0-5
libparted2t64:arm64	3.6-5
libpcap0.8t64:arm64	1.10.5-2
libpci3:arm64	1:3.13.0-2
libpciaccess0:arm64	0.17-3+b3
libpcre2-16-0:arm64	10.46-1~deb13u1
libpcre2-8-0:arm64	10.46-1~deb13u1
libpcsclite1:arm64	2.3.3-1
libperl5.40:arm64	5.40.1-6
libpipeline1:arm64	1.5.8-1
libpisp-common	1.5.0-1
libpisp1:arm64	1.5.0-1
libpixman-1-0:arm64	0.46.4-1+rpt1
libpkgconf3:arm64	1.8.1-4
libpng16-16t64:arm64	1.6.48-1+deb13u5
libpolkit-agent-1-0:arm64	126-2
libpolkit-gobject-1-0:arm64	126-2
libpopt0:arm64	1.19+dfsg-2
libproc2-0:arm64	2:4.0.4-9
libpsl5t64:arm64	0.21.2-1.1+b1
libpugixml1v5:arm64	1.14-2
libpython3-dev:arm64	3.13.5-1
libpython3-stdlib:arm64	3.13.5-1
libpython3.13:arm64	3.13.5-2
libpython3.13-dev:arm64	3.13.5-2
libpython3.13-minimal:arm64	3.13.5-2
libpython3.13-stdlib:arm64	3.13.5-2
libqt6core6t64:arm64	6.8.2+dfsg-9+deb13u1
libraqm0:arm64	0.10.2-1
libreadline8t64:arm64	8.2-6
librpicam-app1:arm64	1.12.0-1
librpifwcrypto0:arm64	20260304+1-1
librtmp1:arm64	2.4+20151223.gitfa8646d.1-2+b5
libsamplerate0:arm64	0.2.2-4+b2
libsasl2-2:arm64	2.1.28+dfsg1-9
libsasl2-modules:arm64	2.1.28+dfsg1-9
libsasl2-modules-db:arm64	2.1.28+dfsg1-9
libseccomp2:arm64	2.6.0-2
libselinux1:arm64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:arm64	3.8.1-1
libsensors-config	1:3.6.2-2
libsensors5:arm64	1:3.6.2-2
libsepol2:arm64	3.8.1-1
libsframe1:arm64	2.44-3
libsharpyuv0:arm64	1.5.0-0.1
libslang2:arm64	2.3.3-5+b2
libsm6:arm64	2:1.2.6-1
libsmartcols1:arm64	2.41-5
libsource-highlight-common	3.1.9-4.3
libsource-highlight4t64:arm64	3.1.9-4.3+b1
libsqlite3-0:arm64	3.46.1-7+deb13u1
libss2:arm64	1.47.2-3+b10
libssh2-1t64:arm64	1.11.1-1
libssl3t64:arm64	3.5.5-1~deb13u2+rpt1
libstdc++-14-dev:arm64	14.2.0-19
libstdc++6:arm64	14.2.0-19
libsystemd-shared:arm64	257.9-1~deb13u1
libsystemd0:arm64	257.9-1~deb13u1
libtalloc2:arm64	2:2.4.3+samba4.22.8+dfsg-0+deb13u1
libtasn1-6:arm64	4.20.0-2
libteamdctl0:arm64	1.31-1+b2
libtensorflow-lite2.20.0:arm64	2.20.0-1+rpt1
libtext-charwidth-perl:arm64	0.04-11+b4
libtext-iconv-perl:arm64	1.7-8+b4
libtext-wrapi18n-perl	0.06-10
libtiff6:arm64	4.7.0-3+deb13u2
libtinfo6:arm64	6.5+20250216-2
libtirpc-common	1.3.6+ds-1
libtirpc3t64:arm64	1.3.6+ds-1
libtsan2:arm64	14.2.0-19
libubsan1:arm64	14.2.0-19
libuchardet0:arm64	0.0.8-1+b2
libudev1:arm64	257.9-1~deb13u1
libudisks2-0:arm64	2.10.1-12.1+deb13u1
libunistring5:arm64	1.3-2
libunwind8:arm64	1.8.1-0.1
libusb-1.0-0:arm64	2:1.0.28-1
libuuid1:arm64	2.41-5
libv4l-0t64:arm64	1.30.1-1
libv4l2rds0t64:arm64	1.30.1-1
libv4lconvert0t64:arm64	1.30.1-1
libvolume-key1:arm64	0.3.12-9
libvorbis0a:arm64	1.3.7-3
libvulkan1:arm64	1.4.309.0-1
libwayland-client0:arm64	1.24.0-2~bpo13+1~rpt1
libwayland-server0:arm64	1.24.0-2~bpo13+1~rpt1
libwbclient0:arm64	2:4.22.8+dfsg-0+deb13u1
libwebp7:arm64	1.5.0-0.1
libwebpdemux2:arm64	1.5.0-0.1
libwebpmux3:arm64	1.5.0-0.1
libwrap0:arm64	7.6.q-36
libwtmpdb0:arm64	0.73.0-3+deb13u1
libx11-6:arm64	2:1.8.12-1
libx11-data	2:1.8.12-1
libx11-xcb1:arm64	2:1.8.12-1
libxau6:arm64	1:1.0.11-1
libxaw7:arm64	2:1.0.16-1
libxcb-dri3-0:arm64	1.17.0-2+b1
libxcb-glx0:arm64	1.17.0-2+b1
libxcb-present0:arm64	1.17.0-2+b1
libxcb-randr0:arm64	1.17.0-2+b1
libxcb-shm0:arm64	1.17.0-2+b1
libxcb-sync1:arm64	1.17.0-2+b1
libxcb-xfixes0:arm64	1.17.0-2+b1
libxcb1:arm64	1.17.0-2+b1
libxcvt0:arm64	0.1.3-1
libxdmcp6:arm64	1:1.1.5-1
libxext6:arm64	2:1.3.4-1+b3
libxfont2:arm64	1:2.0.6-1+b3
libxkbfile1:arm64	1:1.1.0-1+b4
libxml2:arm64	2.12.7+dfsg+really2.9.14-2.1+deb13u2
libxmu6:arm64	2:1.1.3-3+b4
libxmuu1:arm64	2:1.1.3-3+b4
libxpm4:arm64	1:3.5.17-1+b3
libxrandr2:arm64	2:1.5.4-1+b3
libxrender1:arm64	1:0.9.12-1
libxshmfence1:arm64	1.3.3-1
libxt6t64:arm64	1:1.2.1-1.2+b2
libxtables12:arm64	1.8.11-2
libxxf86vm1:arm64	1:1.1.4-1+b4
libxxhash0:arm64	0.8.3-2
libyaml-0-2:arm64	0.2.5-2
libyuv0:arm64	0.0.1904.20250204-1
libz3-4:arm64	4.13.3-1
libzstd1:arm64	1.5.7+dfsg-1
linux-base	4.12.1
linux-base-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-base-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-base-rpi-2712	1:6.18.29-1+rpt1
linux-base-rpi-v8	1:6.18.29-1+rpt1
linux-headers-6.12.75+rpt-common-rpi	1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1
linux-headers-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1
linux-headers-6.18.29+rpt-common-rpi	1:6.18.29-1+rpt1
linux-headers-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-headers-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-headers-rpi-2712	1:6.18.29-1+rpt1
linux-headers-rpi-v8	1:6.18.29-1+rpt1
linux-image-6.12.75+rpt-rpi-2712	1:6.12.75-1+rpt1
linux-image-6.12.75+rpt-rpi-v8	1:6.12.75-1+rpt1
linux-image-6.18.29+rpt-rpi-2712	1:6.18.29-1+rpt1
linux-image-6.18.29+rpt-rpi-v8	1:6.18.29-1+rpt1
linux-image-rpi-2712	1:6.18.29-1+rpt1
linux-image-rpi-v8	1:6.18.29-1+rpt1
linux-kbuild-6.12.75+rpt	1:6.12.75-1+rpt1
linux-kbuild-6.18.29+rpt	1:6.18.29-1+rpt1
linux-libc-dev	1:6.18.29-1+rpt1
